,date,year,quarter,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxAssets,statementData.balanceSheet.deposits,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.inventory,statementData.balanceSheet.acctRec,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.equity,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.ppeq,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.debt,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncff,statementData.cashFlow.ncfi,statementData.cashFlow.ncfx,statementData.cashFlow.ncfo,statementData.cashFlow.depamor,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncf,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.incomeStatement.netinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.revenue,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.epsDil,statementData.incomeStatement.sga,statementData.incomeStatement.taxExp,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebit,statementData.incomeStatement.grossProfit,statementData.incomeStatement.opinc,statementData.incomeStatement.intexp,statementData.incomeStatement.opex,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.ebitda,statementData.incomeStatement.shareswa,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.costRev,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-12-26 00:00:00+00:00,2021,3,1594000000.0,0.0,283000000.0,0.0,0.0,4453000000.0,1493000000.0,5410000000.0,3717000000.0,789000000.0,369000000.0,229000000.0,6272000000.0,7765000000.0,2356000000.0,2967000000.0,0.0,510000000.0,2093000000.0,3816000000.0,91000000.0,495000000.0,3584000000.0,0.0,617000000.0,150647293.0,-382000000.0,-26000000.0,-9000000.0,408000000.0,52000000.0,-26000000.0,0.0,382000000.0,-9000000.0,-382000000.0,12000000.0,0.0,0.0,0.0,179000000.0,151958057.0,178000000.0,1302000000.0,0.0,1.18,538000000.0,-5000000.0,1.19,0.0,184000000.0,848000000.0,167000000.0,10000000.0,681000000.0,174000000.0,-1000000.0,0.0,236000000.0,150661252.0,179000000.0,454000000.0,-0.0553998776049216,-0.171228516868237,2355000000.0,0.9366373902133,-0.143884892086331,0.651305683563748,8.64270425357062,1.25933786078098,0.651305683563748,15.6325411038086,5.0,-0.197066911090742
1,2020-09-26 00:00:00+00:00,2021,2,1581000000.0,0.0,226000000.0,0.0,0.0,4274000000.0,1634000000.0,5604000000.0,3563000000.0,930000000.0,344000000.0,238000000.0,6169000000.0,7803000000.0,2199000000.0,3353000000.0,0.0,522000000.0,2207000000.0,4023000000.0,125000000.0,558000000.0,3992000000.0,0.0,639000000.0,150344703.0,-1000000.0,-39000000.0,1000000.0,70000000.0,54000000.0,-27000000.0,-12000000.0,43000000.0,31000000.0,-1000000.0,17000000.0,0.0,0.0,0.0,122000000.0,151677242.0,121000000.0,1110000000.0,0.0,0.81,474000000.0,20000000.0,0.81,0.0,154000000.0,710000000.0,153000000.0,12000000.0,557000000.0,142000000.0,-1000000.0,0.0,208000000.0,150492275.0,122000000.0,400000000.0,-0.0504951434808745,-0.230235783633842,2199000000.0,1.03352308665402,0.6875,0.63963963963964,7.38303364103224,1.52478399272397,0.63963963963964,14.6263882672341,4.0,-0.177708495713172
2,2020-06-27 00:00:00+00:00,2021,1,1589000000.0,0.0,226000000.0,0.0,0.0,4152000000.0,1489000000.0,5526000000.0,3467000000.0,948000000.0,183000000.0,207000000.0,6044000000.0,7533000000.0,2006000000.0,3328000000.0,0.0,499000000.0,2182000000.0,3937000000.0,71000000.0,596000000.0,3950000000.0,0.0,622000000.0,149365397.0,-420000000.0,-32000000.0,0.0,67000000.0,54000000.0,-32000000.0,0.0,35000000.0,-385000000.0,-419000000.0,29000000.0,0.0,-1000000.0,0.0,-180000000.0,149556310.0,-180000000.0,451000000.0,0.0,-1.21,402000000.0,5000000.0,-1.21,0.0,-158000000.0,302000000.0,-162000000.0,17000000.0,464000000.0,-175000000.0,0.0,0.0,-104000000.0,149556310.0,-180000000.0,149000000.0,-0.0556573593813088,-0.664933135215453,2007000000.0,0.937067337948395,-5.03333333333333,0.669623059866962,3.01944097534183,1.65902293120638,0.669623059866962,13.436847089825,5.0,-0.195058234461739
3,2020-03-28 00:00:00+00:00,2020,4,1401000000.0,0.0,225000000.0,0.0,0.0,4332000000.0,1894000000.0,5778000000.0,3474000000.0,827000000.0,308000000.0,592000000.0,6052000000.0,7946000000.0,2167000000.0,3770000000.0,0.0,507000000.0,2186000000.0,4377000000.0,75000000.0,428000000.0,4367000000.0,0.0,597000000.0,149365397.0,57000000.0,195000000.0,-4000000.0,107000000.0,61000000.0,-59000000.0,-12000000.0,48000000.0,355000000.0,57000000.0,5000000.0,266000000.0,0.0,0.0,-551000000.0,145793584.0,-552000000.0,1192000000.0,0.0,-3.63,613000000.0,12000000.0,-3.65,0.0,-540000000.0,631000000.0,-536000000.0,-1000000.0,1167000000.0,-539000000.0,-1000000.0,0.0,-479000000.0,149380123.0,-551000000.0,561000000.0,-0.0270532573092321,-0.113095238095238,2168000000.0,1.35189150606709,-31.4166666666667,0.529362416107383,7.980429362766,1.7397323488694,0.529362416107383,14.5147406530845,4.0,-0.0938749736897495
5,2019-12-28 00:00:00+00:00,2020,3,2305000000.0,0.0,165000000.0,0.0,0.0,4883000000.0,1781000000.0,5714000000.0,3906000000.0,960000000.0,321000000.0,237000000.0,6544000000.0,8325000000.0,2609000000.0,2836000000.0,0.0,470000000.0,2261000000.0,3409000000.0,-29000000.0,375000000.0,4273000000.0,0.0,1437000000.0,151635485.0,-397000000.0,-58000000.0,4000000.0,509000000.0,63000000.0,-59000000.0,0.0,450000000.0,58000000.0,-297000000.0,16000000.0,1000000.0,-100000000.0,0.0,210000000.0,152154372.0,209000000.0,1571000000.0,0.0,1.38,630000000.0,-4000000.0,1.39,0.0,209000000.0,932000000.0,205000000.0,3000000.0,727000000.0,206000000.0,-1000000.0,0.0,272000000.0,150826196.0,210000000.0,639000000.0,0.0438186639727238,0.0924895688456189,2611000000.0,0.772668112798265,0.0373134328358207,0.593252705283259,10.3603717823701,1.08700651590648,0.593252705283259,17.2189247127742,3.0,0.1421548545678
6,2019-09-28 00:00:00+00:00,2020,2,1803000000.0,0.0,160000000.0,0.0,0.0,4673000000.0,1895000000.0,5981000000.0,3769000000.0,1073000000.0,368000000.0,179000000.0,6498000000.0,8393000000.0,2405000000.0,3562000000.0,0.0,467000000.0,2260000000.0,4178000000.0,-103000000.0,390000000.0,4568000000.0,0.0,1006000000.0,151579407.0,-19000000.0,-43000000.0,-4000000.0,85000000.0,65000000.0,-51000000.0,0.0,34000000.0,19000000.0,-19000000.0,21000000.0,8000000.0,0.0,0.0,73000000.0,152576283.0,73000000.0,1442000000.0,0.0,0.47,623000000.0,-4000000.0,0.48,0.0,72000000.0,874000000.0,75000000.0,3000000.0,799000000.0,69000000.0,0.0,0.0,137000000.0,151602502.0,73000000.0,568000000.0,0.0458824890909957,0.150837988826816,2412000000.0,1.051026067665,-0.478260869565217,0.606102635228849,9.51316559775168,1.48108108108108,0.606102635228849,15.9124517488052,3.0,0.143119538789854
7,2019-06-29 00:00:00+00:00,2020,1,1668000000.0,0.0,149000000.0,0.0,0.0,4600000000.0,1710000000.0,5980000000.0,3902000000.0,1016000000.0,310000000.0,160000000.0,6598000000.0,8308000000.0,2321000000.0,3671000000.0,0.0,467000000.0,2326000000.0,4312000000.0,-93000000.0,355000000.0,4569000000.0,0.0,898000000.0,150939251.0,-138000000.0,-32000000.0,0.0,158000000.0,60000000.0,-54000000.0,-1000000.0,104000000.0,-12000000.0,-136000000.0,30000000.0,23000000.0,-2000000.0,0.0,45000000.0,152334153.0,45000000.0,1346000000.0,0.0,0.3,598000000.0,6000000.0,0.3,0.0,64000000.0,834000000.0,64000000.0,13000000.0,770000000.0,51000000.0,0.0,0.0,124000000.0,151049572.0,45000000.0,512000000.0,0.0640798288016514,0.118869492934331,2328000000.0,1.02517985611511,-0.76,0.61961367013373,8.91749489335945,1.58164584230935,0.61961367013373,15.4234235599857,4.0,0.174908086235778
8,2019-03-30 00:00:00+00:00,2019,4,1542000000.0,0.0,112000000.0,0.0,0.0,4707000000.0,1729000000.0,4214000000.0,3952000000.0,953000000.0,383000000.0,172000000.0,4921000000.0,6650000000.0,2429000000.0,1936000000.0,0.0,472000000.0,615000000.0,2672000000.0,-66000000.0,371000000.0,2566000000.0,0.0,630000000.0,150708513.0,-21000000.0,-1909000000.0,-2000000.0,-82000000.0,65000000.0,-46000000.0,-1873000000.0,-128000000.0,-2014000000.0,-27000000.0,22000000.0,11000000.0,6000000.0,0.0,19000000.0,152083637.0,19000000.0,1344000000.0,0.0,0.12,609000000.0,3000000.0,0.12,0.0,39000000.0,793000000.0,40000000.0,17000000.0,753000000.0,22000000.0,0.0,0.0,104000000.0,150801611.0,19000000.0,551000000.0,0.10469235774709,0.13907958301551,2436000000.0,1.12127107652399,-0.6,0.590029761904762,8.91787712084984,0.797035817208728,0.590029761904762,16.1636522815403,2.0,0.243762836268139
10,2018-12-29 00:00:00+00:00,2019,3,1387400000.0,0.0,47200000.0,0.0,0.0,4687300000.0,3439500000.0,3761300000.0,1912900000.0,764700000.0,291200000.0,264500000.0,2588900000.0,6028400000.0,2263700000.0,1954700000.0,0.0,204100000.0,543600000.0,2373900000.0,-92900000.0,329000000.0,2534100000.0,0.0,579400000.0,150232617.0,1674000000.0,-154000000.0,-1000000.0,512000000.0,51000000.0,-45000000.0,-108000000.0,467000000.0,2031000000.0,1771000000.0,11000000.0,0.0,-97000000.0,0.0,200000000.0,150268424.0,200000000.0,1438000000.0,0.0,1.33,507000000.0,42000000.0,1.34,0.0,249000000.0,873000000.0,290000000.0,7000000.0,583000000.0,242000000.0,0.0,0.0,300000000.0,149183049.0,200000000.0,565000000.0,0.125185205585084,-0.00145823206721751,2267100000.0,2.47909759261929,-0.0694444444444443,0.607093184979138,9.57182287518828,0.863497813314485,0.607093184979138,15.0905978027395,5.0,0.267410257315308
11,2018-09-29 00:00:00+00:00,2019,2,997900000.0,0.0,47100000.0,0.0,0.0,4487700000.0,1474100000.0,1924000000.0,1955500000.0,767600000.0,339900000.0,155200000.0,2633200000.0,4107300000.0,2179700000.0,504600000.0,0.0,205400000.0,552000000.0,926100000.0,-62900000.0,290500000.0,759600000.0,0.0,255000000.0,149321694.0,-49000000.0,-21000000.0,-3000000.0,58000000.0,53000000.0,-49000000.0,29000000.0,9000000.0,-15000000.0,-62000000.0,1000000.0,0.0,13000000.0,0.0,138000000.0,151705685.0,137000000.0,1253000000.0,0.0,0.91,494000000.0,15000000.0,0.92,0.0,159000000.0,763000000.0,190000000.0,6000000.0,573000000.0,153000000.0,-1000000.0,0.0,212000000.0,149575112.0,138000000.0,490000000.0,0.143809005194599,0.0927960927960927,2183300000.0,1.47720212446137,-0.313432835820896,0.608938547486033,8.39127903277068,0.231499747671698,0.608938547486033,14.6214521246993,4.0,0.282754887218045
